GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
achat,tn.esprit.rh.achat.entities,CategorieProduit,31,18,0,0,4,5,6,6,6,6
achat,tn.esprit.rh.achat.entities,Operateur,44,43,0,0,4,16,8,6,8,6
achat,tn.esprit.rh.achat.entities,Facture,82,18,0,0,9,4,16,5,16,5
achat,tn.esprit.rh.achat.entities,CategorieFournisseur,0,15,0,0,0,2,0,1,0,1
achat,tn.esprit.rh.achat.entities,DetailFournisseur,56,10,0,0,6,3,11,3,11,3
achat,tn.esprit.rh.achat.entities,Produit,62,34,0,0,9,3,11,9,11,9
achat,tn.esprit.rh.achat.entities,Reglement,36,30,0,0,5,4,10,4,10,4
achat,tn.esprit.rh.achat.entities,SecteurActivite,22,24,0,0,3,4,6,4,6,4
achat,tn.esprit.rh.achat.entities,Stock,40,28,0,0,3,10,7,6,7,6
achat,tn.esprit.rh.achat.entities,Fournisseur,56,47,0,0,5,16,10,8,10,8
achat,tn.esprit.rh.achat.entities,DetailFacture,73,3,0,0,9,1,15,1,15,1
achat,tn.esprit.rh.achat.controllers,FactureRestController,43,3,0,0,13,1,7,1,7,1
achat,tn.esprit.rh.achat.controllers,ProduitRestController,34,3,0,0,10,1,6,1,6,1
achat,tn.esprit.rh.achat.controllers,CategorieProduitController,28,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,OperateurController,28,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,FournisseurRestController,34,3,0,0,10,1,6,1,6,1
achat,tn.esprit.rh.achat.controllers,SecteurActiviteController,28,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,ReglementRestController,32,3,0,0,9,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,StockRestController,28,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat,AchatApplication,5,3,0,0,2,1,1,1,1,1
achat,tn.esprit.rh.achat.util,SpringFoxSwaggerConfig,0,80,0,0,0,22,0,6,0,6
achat,tn.esprit.rh.achat.services,OperateurServiceImpl,10,27,0,0,2,8,1,5,1,5
achat,tn.esprit.rh.achat.services,StockServiceImpl,0,143,0,4,0,35,0,10,0,8
achat,tn.esprit.rh.achat.services,SecteurActiviteServiceImpl,0,37,0,0,0,10,0,6,0,6
achat,tn.esprit.rh.achat.services,FactureServiceImpl,120,89,3,3,25,18,5,8,3,7
achat,tn.esprit.rh.achat.services,FournisseurServiceImpl,37,79,0,2,7,23,2,8,2,7
achat,tn.esprit.rh.achat.services,CategorieProduitServiceImpl,0,36,0,0,0,10,0,6,0,6
achat,tn.esprit.rh.achat.services,ReglementServiceImpl,0,38,0,0,0,9,0,6,0,6
achat,tn.esprit.rh.achat.services,ProduitServiceImpl,21,64,2,0,5,15,2,7,1,7
